nodo_id,artista,grado_total,grado_entrada,grado_salida,intermediacion,cercania,pagerank,followers,hub_score,authority_score,comunidad
6d4jrmreCmsenscuieJERc,The Band CAMINO,0,0,0,0.0,0.0,0.0033597391608982084,404847.0,-0.0,-0.0,30
0elWFr7TW8piilVRYJUe4P,Natanael Cano,0,0,0,0.0,0.0,0.0033597391608982084,18090181.0,-0.0,-0.0,28
4AGwPDdh1y8hochNzHy5HC,RAC,0,0,0,0.0,0.0,0.0033597391608982084,169161.0,-0.0,-0.0,33
0WjcdSKSTiNtfM4uQDIPDm,Artists for Haiti,0,0,0,0.0,0.0,0.0033597391608982084,5527.0,-0.0,-0.0,34
6wwhO5PsicwoD7VyCRQakr,Les Artistes Maajabu,0,0,0,0.0,0.0,0.0033597391608982084,20237.0,-0.0,-0.0,35
5BuWpYnKO5UvKRsppHME2o,Unknown Artist LTG,0,0,0,0.0,0.0,0.0033597391608982084,115.0,-0.0,-0.0,36
4MoCPQEZqegox8Ng6SUGrb,PM Artist Sessions Project,0,0,0,0.0,0.0,0.0033597391608982084,667.0,-0.0,-0.0,37
4wAqlYtTaaHELEgyCh9KjG,FAVE,0,0,0,0.0,0.0,0.0033597391608982084,869796.0,-0.0,-0.0,25
6Lison90Nuv6paiGTrTqRl,Rich Kalashh,0,0,0,0.0,0.0,0.0033597391608982084,51504.0,-0.0,-0.0,26
6V394G6torkxVfqL39qEgK,All Artist Adella,0,0,0,0.0,0.0,0.0033597391608982084,576.0,-0.0,-0.0,23
5lbM4g6bhxjNX7R5QHP2nD,Xavier Rudd,0,0,0,0.0,0.0,0.0033597391608982084,777170.0,-0.0,-0.0,18
1Yk912s46hRDu0aEvLG8WO,New Artist Spotlight,0,0,0,0.0,0.0,0.0033597391608982084,3349.0,-0.0,-0.0,19
4u45IgUkhkBn4KXHnuiXvm,Artist Joe Smith,0,0,0,0.0,0.0,0.0033597391608982084,286.0,-0.0,-0.0,21
3064mDVay7KaKF8TyuD8kw,Nachtdienst,0,0,0,0.0,0.0,0.0033597391608982084,6887.0,-0.0,-0.0,22
4YgUVg4p7xtMOrOS4GjiJZ,Jatin-Lalit,0,0,0,0.0,0.0,0.0033597391608982084,397046.0,-0.0,-0.0,16
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,0,0,0,0.0,0.0,0.0033597391608982084,34631150.0,-0.0,-0.0,17
2hRgsNuAo7lhUqmrl25WD5,The Artist Ren,0,0,0,0.0,0.0,0.0033597391608982084,1400.0,-0.0,-0.0,15
7f02bxFbZIOVdSbYRNYvLT,Jerry Di,0,0,0,0.0,0.0,0.0033597391608982084,392038.0,-0.0,-0.0,11
1TfSVLC8KtuIo6uWNqCbqU,Artist Moon,0,0,0,0.0,0.0,0.0033597391608982084,180.0,-0.0,-0.0,12
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,0,0,0,0.0,0.0,0.0033597391608982084,8231601.0,-0.0,-0.0,10
4L9VftgkqPPV0KXjzM0SIh,artistbasm,0,0,0,0.0,0.0,0.0033597391608982084,460.0,-0.0,-0.0,5
7xkAwz0bQTGDSbkofyQt3U,Belinda Carlisle,0,0,0,0.0,0.0,0.0033597391608982084,915888.0,-0.0,-0.0,6
1tRu0E7lS9rf0DXRwcCNEX,Artist.Zm,0,0,0,0.0,0.0,0.0033597391608982084,32.0,-0.0,-0.0,9
6gjAbs229sNHhSskJpQ2mG,Artist Unknown,0,0,0,0.0,0.0,0.0033597391608982084,990.0,-0.0,-0.0,4
