"id","label","followers","genres","popularity","image_url"
"6aDX1jzNVAI9enlQzW0Pgw","Moonchild Sanelly","126750","gqom","52","https://i.scdn.co/image/ab6761610000e5eb7f27ba12d7be6ab21024670c"
"1svX5cMlY22N60RxwzeJNO","DJ Lag","46713","gqom, amapiano","46","https://i.scdn.co/image/ab6761610000e5eb820ed7d6676d8c24fe3397b5"
"12Zk1DFhCbHY6v3xep2ZjI","070 Shake","602862","","69","https://i.scdn.co/image/ab6761610000e5eb6338990250f5d5a447650ba9"
"3KedxarmBCyFBevnqQHy3P","Jessie Reyez","1460570","","67","https://i.scdn.co/image/ab6761610000e5eb9e801308a8c99d52a7f14374"
"56FLf4ircQ6ljIhDzVAvay","La Melodia XD","64","","26","https://i.scdn.co/image/ab67616d0000b273f364c7a73bee23d413b06d52"
"28DFDpyRKnHQr6BFNPGP4L","James Earl Jones","2111","","32","https://i.scdn.co/image/ab67616d0000b273ae8be2c5e8345459472479e1"
"4pymj2vy5yR9nIVrIaZ6ga","Chiwetel Ejiofor","1933","","31","https://i.scdn.co/image/ab6761610000e5eba2ef3ba93fd75a548efe0c03"
"2wrxoZjEVKfJZhxCiqK0ju","JayDon","14560","","46","https://i.scdn.co/image/ab6761610000e5eb0ed63682892e613ac5a0a41c"
"3qBrg0c1loxePyWQxp6F75","Shahadi Wright Joseph","3527","","40","https://i.scdn.co/image/ab6761610000e5eb2707a2fe54769871232016e2"
"0FVsUxcFSlxwIM7Qs31s6J","Billy Eichner","7947","","47","https://i.scdn.co/image/ab6761610000e5eb2660d94f968e40fb64887f7d"
"7xX39IyguhWsTIg4eU2reH","Seth Rogen","5877","","48","https://i.scdn.co/image/ab6761610000e5eb098ada25bad2c88d4b590dc1"
"4KksP8dIhwtsf7RD6Xvd6y","Beyoncé Knowles Carter","1364","","0",""
"3ZNQlU5HogZcqfsaFHtq6u","John Kani","106","","18",""
"7G3HCN6GKPd8lOCSFNaoXV","Alfre Woodard","65","","11",""
"1vyhD5VmyZ7KMfW5gqLgo5","J Balvin","37978719","reggaeton, latin","88","https://i.scdn.co/image/ab6761610000e5ebdea08796d296a58c5d060439"
"4RSyJzf7ef6Iu2rnLdabNq","Willy William","271137","","65","https://i.scdn.co/image/ab6761610000e5ebb1c62ed15ffe2bc67a633601"
"3AuMNF8rQAKOzjYppFNAoB","Kelly Rowland","3568363","","69","https://i.scdn.co/image/ab6761610000e5eb7c614a2b3cedfc53e4679c2e"
"2LAqcqAQ8KPTsl1HBgBrqM","Michelle Williams","26001","musicals","60","https://i.scdn.co/image/ab6761610000e5eb161adf3b448f71f2a1a301c6"
"4FZ3j1oH43e7cukCALsCwf","Jack White","1400647","blues rock","59","https://i.scdn.co/image/ab6761610000e5eb16204ddc5822afc3e4a1cecf"
"2jmAsMZ9hdMfeyCLiBeCzI","Chimamanda Ngozi Adichie","2804","","47","https://i.scdn.co/image/ab67616d0000b273b74620204a65a5682d3b9365"
"2h93pZq0e7k5yf4dywlkpM","Frank Ocean","17959189","","87","https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab"
"1pmixngtBJleMrGUG5o8DE","Mr. Vegas","370056","dancehall, ragga, reggae, soca, riddim, azonto, shatta","56","https://i.scdn.co/image/ab6761610000e5ebf4b6dd19bf372063699d54fc"
"5toAPS22hqjqGy4MQwpAM0","Clifford Smith","141","","35",""
"6t1QCRhViEFcYbIzNapUj0","Cleveland Browne","104","","35",""
"0qy3SWTPGNnQpTuqk9eG8G","Danny Browne","129","","35",""
"6TQj5BFPooTa08A7pk8AQ1","Kaskade","977449","edm","65","https://i.scdn.co/image/ab6761610000e5ebc96f32c30b4c236b5b9c40fa"
"2hLrZOPHBAdnpwe6KN7b2F","Jens Bergmark for Peace Bisquit","33","","12",""
"634n2o28cVdR45nvwibcaP","Julian Napolitano","113","emocore","10","https://i.scdn.co/image/ab67616d0000b273238702aa80847795dcc9548f"
